variable_name,description,data_type,min,max,units,enumerations,comment
ParticipantAssertion_participant_assertion_id,Autocreated FK slot,string,,,,,Foreign Key: ParticipantAssertion.participant_assertion_id
value_code_id,Value as code,integer,,,,,Foreign Key: Coding.id
