variable_name,description,data_type,min,max,units,enumerations,comment
ResearchStudy_research_study_id,Autocreated FK slot,string,,,,,Foreign Key: ResearchStudy.research_study_id
study_membership_id_study_membership_id,Study Membership Global ID (group),string,,,,,Foreign Key: StudyMembership.study_membership_id
