variable_name,description,data_type,min,max,units,enumerations,comment
AgeAt_id,Autocreated FK slot,string,,,,,Foreign Key: AgeAt.id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
