variable_name,description,data_type,min,max,units,enumerations,comment
StudyMembership_study_membership_id,Autocreated FK slot,string,,,,,Foreign Key: StudyMembership.study_membership_id
research_subject_id,Research Subject Global ID (ResearchSubject),string,,,,,
