variable_name,description,data_type,min,max,units,enumerations,comment
Sample_sample_id,Autocreated FK slot,string,,,,,Foreign Key: Sample.sample_id
aliquot_id_aliquot_id,Aliquot Global ID,string,,,,,Foreign Key: Aliquot.aliquot_id
