variable_name,description,data_type,min,max,units,enumerations,comment
FamilyMembership_family_relhip_global_id,Autocreated FK slot,string,,,,,Foreign Key: FamilyMembership.family_relhip_global_id
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,
