variable_name,description,data_type,min,max,units,enumerations,comment
StudyMembership_study_membership_id,Autocreated FK slot,string,,,,,Foreign Key: StudyMembership.study_membership_id
participant_id_participant_id,The Global ID for the Participant,string,,,,,Foreign Key: Participant.participant_id
